CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,D001_01,D002_01,D003_01,D004_01,D005_01,D006_01,D007_01,D008_01,D009_01,D010_01,D011_01,D012_01,D013_01,D014_01,D015_01,D016_01,D017_01,D018_01,D019_01,D020_01,D021_01,D022_01,D023_01,D024_01,D025_01,D026_01,D027_01,D028_01,D029_01,D030_01,D031_01,D032_01,D033_01,D034_01,D035_01,D036_01,D037_01,D038_01,D039_01,D040_01,EX01_01,EX01_02,EX01_03,EX01_04,EX01_05,EX01_06,EX01_07,EX01_08,EX01_09,EX01_10,EX01_11,EX01_12,EX01_13,EX01_14,EX01_15,EX01_16,EX01_17,EX01_18,EX01_19,EX01_20,F001_01,F002_01,F003_01,F004_01,F005_01,F006_01,F007_01,F008_01,F009_01,F010_01,F011_01,F012_01,F013_01,F014_01,F015_01,F016_01,F017_01,F018_01,F019_01,F020_01,F021_01,F022_01,F023_01,F024_01,F025_01,F026_01,F027_01,F028_01,F029_01,F030_01,F031_01,F032_01,F033_01,F034_01,F035_01,F036_01,F037_01,F038_01,F039_01,F040_01,Q001_01,Q001_02,Q001_03,Q001_04,Q002_01,Q002_02,Q002_03,Q002_04,Q003_01,Q003_02,Q003_03,Q003_04,Q004_01,Q004_02,Q004_03,Q005,Q006,Q007_01,R001_CP,R001x01,R001x02,R001x03,R001x04,R001x05,R001x06,R001x07,R001x08,R001x09,R001x10,R001x11,R001x12,R001x13,R001x14,R001x15,R001x16,R001x17,R001x18,R001x19,R001x20,R001x21,R001x22,R001x23,R001x24,R001x25,R001x26,R001x27,R001x28,R001x29,R001x30,R001x31,R001x32,R001x33,R001x34,R001x35,R001x36,R001x37,R001x38,R001x39,R001x40,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME022,TIME023,TIME024,TIME025,TIME026,TIME027,TIME028,TIME029,TIME030,TIME031,TIME032,TIME033,TIME034,TIME035,TIME036,TIME037,TIME038,TIME039,TIME040,TIME041,TIME042,TIME043,TIME044,TIME045,TIME046,TIME047,TIME048,TIME049,TIME050,TIME051,TIME052,TIME053,TIME054,TIME055,TIME056,TIME057,TIME058,TIME059,TIME060,TIME061,TIME062,TIME063,TIME064,TIME065,TIME066,TIME067,TIME068,TIME069,TIME070,TIME071,TIME072,TIME073,TIME074,TIME075,TIME076,TIME077,TIME078,TIME079,TIME080,TIME081,TIME082,TIME083,TIME084,TIME085,TIME086,TIME087,TIME088,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
196,,,avila,interview,4/14/23 2:46,1,1,2,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,6 year old boy.,9-year-old girl.,,,,,,,8 year old boy.,This person appears to be a boy about 3 years old.,,4-year-old girl.,15-year-old girl.,2-year-old boy.,,10 month old boy.,3-year-old boy.,10-year-old boy.,"A 1-year-old, possibly 2-year-old boy.",,1-year-old boy.,10-year-old boy.,3-year-old boy.,,This person appears to be a 1 year old girl.,2 year old boy.,7 year old boy.,6-year-old girl.,,,6 year old girl.,This appears to be a 4 year old boy.,7-month-old girl.,,,,3-year-old boy.,,,3 year old girl.,4,5,3,3,2,2,2,3,4,6,2,5,6,6,2,6,-9,7,6,5,,,"This baby might feel scared, confused, while also not feeling well/sick. ",Confusion and curiosity about the visitors they see in front of them.,"Sad and upset, while also frustrated that someone is watching them.","Sadness, tiredness, perhaps itchiness due to their skin condition.","Irritation at being watched, shyness.","Sadness, frustration.",,,"She looks hungry, quietly taking in her surroundings.",,,,"Hungry and tired, and wondering what the people in front of them are doing.",,,,,"This person might feel confusion for why the people photography them is there, perhaps curiosity.",,,,"Boredom while waiting for the next thing, curiosity about the people across from him.",,,,,"Tiredness, exhaustion.",This person perhaps feels hunger and tiredness.,,,,Tired and hungry.,"Shyness, tired, confusion.","Frustration, confusion.",,"Tired and wanting a nap, but also feeling the pangs of hunger.","Sadness, but also intrigue in whoever they are watching photograph them.",,It was a little depressing seeing so many sad little faces.,At first I kind of just went back and forth,"Yes, it was easier to quickly assume ages and genders",The pictures between the two decks seemed overall similar.,3,2,3,4,4,4,4,3,Female,White,30,6,4,5,55,10,30,32,25,20,6,27,9,1,31,36,29,26,40,3,5,34,19,17,39,38,21,33,16,24,7,22,12,35,2,28,4,37,23,15,8,13,18,11,14,74,256,2,13,3,13,2,68,6,27,2,29,5,56,2,35,2,18,2,18,6,67,7,43,2,14,2,12,5,12,4,34,9,12,2,12,2,11,2,30,3,50,3,21,4,18,2,22,2,26,2,27,4,12,2,11,2,26,2,44,8,59,2,33,3,43,3,21,2,16,2,30,2,32,3,12,2,42,1,26,1,24,163,32,103,260,40,,1797,,4/14/23 3:22,1,0,87,87,1,1,1.22
200,,,avila,interview,4/14/23 3:35,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,2,,8 or nine and a boy,,,,,5 boy ,,,,3 or 4 girl,,12 boy,4 boy,,,4 or 5 boy ,,,,2 boy,4 or 5 boy,,,18 months boy,3 boy,,,,6 boy,6 boy,,,,4 boy,,,,2 boy,,7,2,6,4,2,5,4,4,2,5,1,5,5,5,2,2,6,6,4,5,Done playing and is being spoken to about something ,,Day dreaming or surprised,Realization and observation ,Reprimanded and frustrated ,Consequential and understanding ,,Upset and is realizing something. Or letting something upsetting settle in emotionally ,He appears to be waiting or is unsure of time,Disappointment ,,Reprimanded and content after the fact and is disappointed ,,,More like a painful memory ,The kid can't get what he wants and is frustrated by the outcome or response he got,,Waiting or bored,Misunderstands and is in pain,Content curious shy,,,Unsure why he is being photographed ,Person feels content and curious almost observant ,,,Irritated ,Content or curious ,Boredom ,,,Doesn't understand and is a tad frustrated ,They look like they are done crying over something stupid like dropping milk bottle,Sadness ,,Understanding or misunderstanding ,Frustration and realization ,Content and upset,,Not included ,Uncomfortable ,Randomly ,Yes blue,Yes the task,2,3,3,3,2,3,3,3,Female ,Black,29,4,3,1,56,16,2,17,24,8,9,22,33,21,18,28,25,15,37,35,36,10,4,13,14,40,20,30,1,12,27,7,3,5,38,29,34,11,39,32,19,26,6,23,31,10,15,3,22,10,47,3,16,2,17,4,12,2,27,4,11,2,54,2,31,2,11,2,15,2,32,2,17,4,11,2,38,12,64,4,53,2,12,3,17,2,11,3,11,3,24,2,23,4,47,2,18,5,16,2,11,2,18,7,11,3,14,3,14,2,28,2,52,2,11,2,12,2,18,3,18,2,11,3,14,2,23,120,38,81,198,7,,1490,,4/14/23 4:00,1,0,87,87,0,0,1.37
201,,,avila,interview,4/14/23 3:53,1,1,1,1,2,1,2,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,Male  age 6,Make age 7,Make age 3,Male age 4,,Female age 3,,,,Male  age 5,Female age 4,,Male age 12,Male age 4,,,Male age 4,,Male age 5,Female age 3,Female age 2,Male age 5,,Male child watching television ,female age 2,,Male age 6,Female age 6,Female age 10,,Make age 5,Male age 6,Male age 1,,,,,,Male age 4,Make age 3,7,7,5,5,5,2,1,1,7,7,1,4,7,7,2,7,7,7,7,2,,,,,Little boy caught off guard ,,Young black child hiding,Little girl very sad,Little boy feeling trapped ,,,Little girl wanting friends ,,,Little boy stress,Young child crying for food,,Young black boy very tired ,,,,,Little boy hunger ,,,Little boy confused ,,,,Little boy very cold,,,,Little boy missing his mom,Little boy just got in trouble ,Little boy very mad,Little boy angry,Male age 2,,,Very long,Just guessed ,Yes,No,3,3,1,5,2,1,1,5,Female ,Black American ,49,2,4,4,57,8,27,11,7,20,2,4,16,28,24,38,35,21,12,33,32,18,25,22,30,14,31,36,3,10,23,15,26,39,13,6,19,9,17,40,34,37,1,29,5,8,5,3,16,2,15,3,14,3,20,2,17,2,22,3,45,24,31,2,16,2,23,3,21,1,19,2,13,2,11,2,14,6,37,3,11,2,21,2,11,2,18,2,16,2,18,2,14,10,29,5,35,1,17,4,30,2,11,3,14,1,18,2,12,2,14,2,14,4,16,1,23,1,15,2,21,2,14,3,11,2,14,80,43,49,99,4,,1142,,4/14/23 4:12,1,0,87,87,0,0,1.56
204,,,avila,interview,4/14/23 4:01,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,Five year old male,Seven year old male,Two year old male,Five year old male,,Three year old female,Three year old male ,,,Five year old male,Three year old female,Six year old female,13 year old male,Two year old male,,One year old male,,Six year old male,Five year old male,,Two year old male,,Five year old male,Five year old male,Two year old male,Two year old male ,Six year old male,Five year old male,8 year old female ,Seven year old male,Six year old male,,,,,Three year old male,Three year old male,Two year old male,Three year oldmale,Two year old male,5,3,5,6,2,2,6,3,3,6,4,6,3,5,3,2,5,2,2,6,,,,,He is feeling sadness ,,,Little one is hurt and sad,The young man is angry and sad,,,,,,He is feeling abused ,,This little one is sad,,,I see resilience ,,The young male is feeling alone,,,,,,,,,,He is scared,Little one is not feeling well,This little one is saddened ,This little boy is feeling unsure and distrusting ,,,,,,Emotionally tiring ,Random,Yes,No,5,5,5,4,5,5,4,4,Female,African American ,57,2,4,4,58,9,32,17,34,25,7,22,2,8,33,35,20,5,15,3,6,4,27,24,40,21,1,16,13,11,14,36,29,18,28,30,12,19,38,39,23,31,37,10,26,87,1234,4,15,5,59,4,37,4,21,3,68,3,42,3,42,3,36,17,86,2,17,9,27,2,27,3,24,3,18,6,49,2,13,4,33,5,24,2,19,3,54,3,20,16,74,2,85,3,19,3,60,3,18,2,27,3,32,2,21,2,26,2,19,3,56,3,40,4,26,5,76,2,18,8,17,2,13,3,18,3,31,183,77,77,205,33,,2137,,4/14/23 4:59,1,0,87,87,0,0,0.96
205,,,avila,interview,4/14/23 4:02,,,2,,,,2,2,,,,2,2,2,1,2,,,2,,1,1,1,2,,,,,,,2,2,,,1,,,,1,2,,,,,,,,,,,,,,,Hopeless little boy. ,,,,,,Fearful little boy,I want to be someone little boy ,I just want my little person meal,,,,,,,,,,,,Wondering little boy ,,,,Crying little boy. ,,,,,,,,,,,,,,,,,,,,,,,,I just saw something traumatic ,,,,Where are you ,I just to feel happy ,,,,I'm sorry ,I want peace,I'm so hot and unsafe. ,,I want to go home ,,,I'm so malnourished ,,,,,I wonder what I did wrong ,,,,,,,I want to live in a better place ,I want peace ,,,,,,,,I'm never good enough. ,,,,,,,,,,,,,,,,,,,59,15,40,21,8,24,14,39,22,13,12,31,3,16,23,35,32,7,19,37,27,33,10,36,17,9,25,20,34,29,26,28,4,6,1,38,18,5,11,30,2,25,71,,,,,3,20,,,,,,,3,12,4,48,,,,,,,2,11,2,15,2,20,5,33,2,13,,,,,2,15,,,4,36,3,30,2,29,3,21,,,,,,,,,,,,,2,21,3,11,,,,,2,17,,,,,,,3,23,3,35,,,,,,,556,,4/14/23 4:12,0,0,40,82,0,0,1.25
207,,,avila,interview,4/14/23 4:19,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,This is a 5 year old boy,,,,,,This is a 2 year old boy,,,,,,,This is a 2 year old boy,,,This is a 4 year old boy,,,,This is a 1 year old girl,This is an 8 year old boy,,,,,,,,,This is a 7 year old boy.,This is a 4 year old boy.,,This is a 3 year old girl,This is a toddler boy. ,This is a 4 year old boy,This is a 3 year old girl,This is a 2 year old girl,This is a 4 year old boy,This is a 2 year old girl,4,4,4,4,4,3,3,3,7,7,4,4,6,6,4,4,5,7,7,4,,This person is lonely and sad,This person is scared,This child is curious,This child is scared and sad. ,This child needs love,,This is a 6 year old girl,This child is tired of struggling ,This child is sad and desperate ,This person is very Leary .,This person feels hopeless. ,This person feels loss and grief. ,,This child is sad and tired ,This person is very untrusting ,,This child has a lot on his mind,This person is painfully hungry. ,This is a curious boy,,,This person is angry,This child is worried,This person has been sad for a while.,This is a tired boy,This person is very sad and full of hurt.,This person is very serious,This child is untrusting ,This person is cold,,,This child is sad and tired,,,,,,,,Kind of hard,I just tried to mix it up,No,Yes,3,3,1,2,3,3,2,2,Female,White,50,3,2,4,60,27,35,25,32,19,11,12,31,13,3,40,28,16,39,23,9,38,1,30,8,2,33,22,5,29,4,7,34,15,14,37,26,20,21,17,10,24,6,18,36,6,28,3,25,4,43,2,34,3,23,3,31,2,24,3,18,3,27,3,32,2,22,3,60,278,29,2,26,3,23,2,59,2,39,3,24,5,29,3,56,3,21,2,24,3,27,3,23,3,26,4,68,2,35,6,90,9,80,3,28,3,19,5,37,3,62,3,44,4,43,7,56,2,18,2,18,3,19,3,35,2,26,137,73,88,145,24,,2047,,4/14/23 4:58,1,0,87,87,0,0,0.97
208,,,avila,interview,4/14/23 4:48,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,This boy is about 12 years old.,,This young boy is about 1 year old.,This young boy is about 7 years old.,This young boy is about 2 years old.,,This young boy is about 4 years old.,,This boy is about 8 years old.,This young boy is about 10 years old.,,,This boy is about 14 years old.,This young boy is about 4 years old.,This young boy is about 8 years old.,This young girl is about 3 years old.,This young boy is about 5 years old.,,This young boy is about 10 years old.,This young boy is about 2 years old.,This young boy is about 2 years old.,,This young boy is about 8 years old.,This young boy is about 5 years old.,This young boy is about 2 years old.,This young boy is about 2 years old.,This young boy is about 5 years old.,,This young lady is about 12 years old.,This young boy is about 7 years old.,This young boy is about 12 years old.,,This young girl is about 1 year old.,This young boy is about 5 years old.,,This young boy is about 12 years old.,This big is about 5 years old.,This young boy is about 3 years old.,"This youn boy, about 3 years old, is kicked back and relaxing",This young boy is about 2 years old.,5,6,6,4,2,2,2,2,6,7,2,5,7,3,3,3,6,7,4,5,,This young person is sad because he worked very hard to have his work destroyed by others.,,,,This young girl is sad because her dog ran away.,,Something very bad happened to cause her sadness,,,She is u sure about who she is and how to proceed.,This young boy is sad because he lost his dad.,,,,,,This young person is longing for food and drink.,,,,This young person is anxious and not sure what will happen next.,,,,,,This young person is confused about what is happening.,,,,This young boy is confused about why he got in trouble.,,,This young boy is longing to be loved and part of a family.,,,,,,Depressing seeing all the sad pictures.,Started switching between the decks and then felt it was easier to answer describe deck.,Yes towards the describe deck.,The way I thought about each deck was different.,2,2,1,4,4,4,3,4,Female,White,45,4,3,5,61,8,39,18,22,29,28,20,9,35,16,14,19,12,11,36,26,24,15,32,6,38,34,31,30,17,13,33,7,23,2,4,27,25,3,21,5,40,10,37,1,13,43,3,12,3,71,2,16,3,12,2,21,2,16,3,12,4,27,3,12,6,22,3,20,3,64,3,11,5,15,3,13,2,41,5,11,3,34,2,15,7,18,2,16,3,35,2,11,2,12,2,12,2,24,3,16,2,28,3,30,3,13,2,11,2,25,2,17,3,11,5,31,2,13,2,14,1,16,4,33,2,15,146,33,24,125,17,,1363,,4/14/23 5:10,1,0,87,87,0,0,1.38
216,,,avila,interview,4/14/23 14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,16,9,14,40,28,27,37,7,39,18,19,30,25,6,15,24,2,20,11,13,38,21,4,32,26,34,12,35,23,29,17,8,36,31,22,33,3,10,1,5,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,4/14/23 14:02,0,0,2,2,,,1.7
219,,,avila,interview,4/14/23 14:53,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,,A young boy maybe 8 years old. Looks to be wearing very little clothing and hasn't bathed in quite some time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is a young child maybe 4 years old,A young boy maybe 5 years old appears to be sad,,3,5,2,2,2,2,2,2,4,6,2,4,5,4,2,5,7,6,5,6,They are feeling abandoned and untrusting,,They are feeling shocked ,They are feeling anger,They are feeling very sad and angry,They are feeling like they are not sure what is going on,They are feeling suspicious,They are feeling sad with some anger,They are exhausted and worried,They are feeling betrayed and neglected,They are feeling unsure,They are feeling sad and doesn't know what will happen to them,They are feeling sad and worried,This child is experiencing fear.,They are feeling sad and exposed,This young child is feeling scared and sad,They are feeling angry and upset,They are feeling worried,"They are feeling pain, hunger, and fear",This young child feels indifferent,They are feeling exhausted and starving,They are feeling worried,They are feeling untrusting,They are feeling hopeful but sad,This child is sad and needing help,They are feeling exhaustion and confusion,They are feeling sad and hurt,They have been through many difficult times for as young as they are,They are feeling exhausted and hopeless,They are feeling helpless ,"They are feeling exhausted, worried and hopeless",They are feeling scared and worried,They are feeling sad,They are feeling scared and worried,They are feeling untrusting,They are feeling sad,They are feeling guarded and untrusting,,,They are feeling abandoned and neglected,It was an interesting process,Chose what ever felt right,Chose feel the most,Yes,3,2,1,5,3,2,1,5,Female,White,37,2,1,4,66,14,38,25,21,9,28,40,16,30,2,37,17,10,24,20,19,33,23,15,11,18,12,39,34,1,36,8,29,13,6,27,3,7,35,31,32,4,26,5,22,36,78,2,17,2,56,2,11,1,11,2,14,2,19,2,12,2,15,3,22,2,21,2,11,2,38,1,11,5,41,1,12,5,21,2,32,2,12,2,20,2,21,2,33,2,11,2,13,2,21,3,32,2,16,1,12,2,39,2,14,2,22,2,16,1,13,2,13,1,15,1,14,2,22,2,21,4,30,2,32,1,25,92,23,39,99,16,,1296,,4/14/23 15:15,1,0,87,87,0,0,1.61
222,,,avila,interview,4/14/23 14:59,,,,,,,,1,,2,1,,,,,,,,,2,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,I can't tell if this is a sad boy or girl maybe around 7-9,,,Little girl around 3-6,,,,,,,,,,,,Little boy not bathed in raggy clothes probably 6 or 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young kid experiencing and finding out the lack of recources but not a lack of love. ,,,,,,,,Feeling of lost hope being different doesn't make people any nicer. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,11,28,23,20,8,10,6,18,40,37,22,36,24,21,29,2,33,31,17,16,32,12,14,35,5,13,3,26,34,27,25,38,30,1,4,39,7,19,15,9,5,61,,,,,,,,,,,,,,,4,37,,,2,,5,38,,,,,,,,,,,,,,,,,2,52,,,,,3,45,,,,,,,,,3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,,4/14/23 15:04,0,0,21,58,0,0,0.94
223,,,avila,interview,4/14/23 15:22,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,4,23,8,38,2,3,14,29,26,32,35,5,12,17,18,9,16,1,34,22,39,19,6,33,40,24,10,25,31,30,15,7,20,36,28,11,37,21,27,13,8,11,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,4/14/23 15:23,0,0,9,9,0,0,1
226,,,avila,interview,4/14/23 15:30,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,6,30,15,16,23,7,27,29,11,13,24,2,9,38,12,1,26,35,22,25,36,18,33,21,3,31,32,19,20,14,34,8,28,39,4,10,5,40,17,37,5,3,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,4/14/23 15:30,0,0,13,13,0,0,1.88
228,,,avila,interview,4/14/23 15:48,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,15,20,7,16,39,12,32,19,30,11,9,24,34,37,33,35,5,21,26,8,28,40,4,25,6,22,27,17,3,2,29,23,18,13,14,38,36,10,1,31,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,4/14/23 15:48,0,0,31,31,0,0,1.37
231,,,avila,interview,4/14/23 16:32,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,26,8,1,11,10,40,28,5,29,4,6,19,27,15,14,25,17,30,20,37,12,18,38,22,24,33,35,39,3,16,23,7,34,13,31,2,9,36,32,21,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,4/14/23 16:33,0,0,53,53,0,0,1.63
233,,,avila,interview,4/14/23 16:40,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,"6 year old, male",,,,,,,,,,,,,,,,,,,,,,,,,,,,4 year old male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,7,13,35,21,31,22,37,39,3,2,20,16,40,33,30,38,27,36,18,26,5,6,14,17,9,8,10,23,11,29,1,12,15,34,25,28,24,32,4,19,3,15,,,,,,,,,,,,,13,108,,,,,,,,,,,8,24,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,,,,,,,,,,,,,,112,,4/14/23 16:44,0,0,43,72,0,0,0.97
234,,,avila,interview,4/14/23 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Famine,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,31,30,25,27,18,10,4,17,32,15,22,38,28,5,9,7,3,13,11,2,34,6,8,20,21,35,16,29,39,23,1,19,36,12,37,24,40,26,14,33,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,29,,,,,,,,,,,,,,,,,,,,,,,,,53,,4/14/23 16:43,0,0,61,64,0,0,1.32
236,,,avila,interview,4/14/23 17:01,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,2,1,6 year old male ,12 year old male ,,4 year old male ,6 year old male,,, 7 year old female ,9 year old male ,5 year old male ,5 year old female ,7 year old female ,9 year old female,4 year old male ,6 year old male ,2 year old male ,6 year old male ,,4 year old male,2 year old male ,,5 year old male,6 year old female ,,1 year old female ,,8 year old male ,,14 year old female ,7 year old male ,12 year old male ,,2 year old female ,2 year old female ,,,3 year old male ,,,3 year old female,7,5,7,1,4,1,4,5,4,7,3,4,2,7,2,6,6,6,1,4,,,This child looks as if he is seeing something that he fears and doesn't know if he should stay or run away. ,,,They look as they recently were upset about something and are now settling down ,They look as if they aren't quite sure if they should talk to the photographer ,,,,,,,,,,,They look exhausted and hungry ,,,They look tired and uncertain ,,,They look as if they are content ,,He looks hungry ,,They look as if they are wondering out their future ,,,,They look as if they have no hope left ,,,They look as if they are lost and isn't sure what to do ,They look sad ,,They look like they have come down from being scared of something ,They look concerned about what will happen next ,,Difficult ,Randomly ,"Yes, the Describe deck",The Feel deck was more difficult to decipher,1,2,4,5,2,3,5,4,Female,AA/Caucasian,30,3,1,3,76,3,31,7,16,29,11,6,23,38,30,19,33,35,9,5,24,36,37,25,40,13,39,22,21,2,4,20,26,27,17,34,10,12,1,8,28,14,15,18,32,3,2,3,13,1,13,7,39,4,11,2,17,2,37,2,44,2,15,2,12,4,16,2,13,2,17,19,21,3,11,3,11,3,21,3,16,2,15,7,18,3,12,3,16,2,12,2,14,2,27,4,11,2,25,2,17,2,28,2,12,4,23,3,16,6,26,2,19,3,13,2,21,2,11,2,11,3,31,2,18,4,228,1035,67,37,83,2,,1190,,4/14/23 17:40,1,0,87,87,0,0,1.47
237,,,avila,interview,4/14/23 17:35,,2,,1,,,,,,,,2,,,,1,,,,,,1,2,2,,,2,1,,,,,1,1,,,,,1,,,,,A toddler who is a boy ,,,,,,,,,,,,A little boy ,,,,,,A young male child ,,,,,,A very beautiful little girl ,,,,,It is a baby and possibly a girl. ,A child who is a male. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,They could be feeling some sort of anger ,,,,,,,,,,He is feeling sadness ,,,,,,,,,,,They look like they are content and questioning things ,He looks as if he is experiencing sadness ,,,He looks like he is feeling empty inside. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,24,34,27,33,4,12,2,23,22,28,16,39,1,40,18,38,5,15,17,29,13,6,31,20,21,10,3,26,25,32,30,7,36,37,8,14,9,11,19,35,9,3,,,2,15,,,2,16,,,,,,,,,,,,,,,2,12,,,,,,,2,12,,,,,,,,,,,3,12,3,31,6,33,,,,,6,33,2,12,,,,,,,,,2,30,3,32,,,,,,,,,2,,,,,,,,,,285,,4/14/23 17:39,0,0,79,79,0,0,1.46
241,,,avila,interview,4/14/23 18:01,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,15,4,16,30,17,34,40,19,1,18,39,12,20,35,11,5,14,10,33,24,6,9,13,28,3,22,31,2,27,23,21,26,37,32,38,25,36,7,8,29,8,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,4/14/23 18:02,0,0,31,31,0,0,0.91
